Time,Frame,r,Phi,Theta,FILE
110,11,8,45,270,image/output_000110_000014.png
110,11,8,45,315,image/output_000110_000015.png
110,11,8,90,0,image/output_000110_000016.png
110,11,8,90,45,image/output_000110_000017.png
110,11,8,90,90,image/output_000110_000018.png
110,11,8,90,135,image/output_000110_000019.png
110,11,8,90,180,image/output_000110_000020.png
110,11,8,90,225,image/output_000110_000021.png
110,11,8,90,270,image/output_000110_000022.png
110,11,8,90,315,image/output_000110_000023.png
120,12,8,0,0,image/output_000120_000000.png
120,12,8,0,45,image/output_000120_000001.png
120,12,8,0,90,image/output_000120_000002.png
120,12,8,0,135,image/output_000120_000003.png
120,12,8,0,180,image/output_000120_000004.png
120,12,8,0,225,image/output_000120_000005.png
120,12,8,0,270,image/output_000120_000006.png
120,12,8,0,315,image/output_000120_000007.png
120,12,8,45,0,image/output_000120_000008.png
120,12,8,45,45,image/output_000120_000009.png
120,12,8,45,90,image/output_000120_000010.png
120,12,8,45,135,image/output_000120_000011.png
120,12,8,45,180,image/output_000120_000012.png
120,12,8,45,225,image/output_000120_000013.png
120,12,8,45,270,image/output_000120_000014.png
120,12,8,45,315,image/output_000120_000015.png
120,12,8,90,0,image/output_000120_000016.png
120,12,8,90,45,image/output_000120_000017.png
120,12,8,90,90,image/output_000120_000018.png
120,12,8,90,135,image/output_000120_000019.png
120,12,8,90,180,image/output_000120_000020.png
120,12,8,90,225,image/output_000120_000021.png
120,12,8,90,270,image/output_000120_000022.png
120,12,8,90,315,image/output_000120_000023.png
130,13,8,0,0,image/output_000130_000000.png
130,13,8,0,45,image/output_000130_000001.png
130,13,8,0,90,image/output_000130_000002.png
130,13,8,0,135,image/output_000130_000003.png
130,13,8,0,180,image/output_000130_000004.png
130,13,8,0,225,image/output_000130_000005.png
130,13,8,0,270,image/output_000130_000006.png
130,13,8,0,315,image/output_000130_000007.png
130,13,8,45,0,image/output_000130_000008.png
130,13,8,45,45,image/output_000130_000009.png
130,13,8,45,90,image/output_000130_000010.png
130,13,8,45,135,image/output_000130_000011.png
130,13,8,45,180,image/output_000130_000012.png
130,13,8,45,225,image/output_000130_000013.png
130,13,8,45,270,image/output_000130_000014.png
130,13,8,45,315,image/output_000130_000015.png
130,13,8,90,0,image/output_000130_000016.png
130,13,8,90,45,image/output_000130_000017.png
130,13,8,90,90,image/output_000130_000018.png
130,13,8,90,135,image/output_000130_000019.png
130,13,8,90,180,image/output_000130_000020.png
130,13,8,90,225,image/output_000130_000021.png
130,13,8,90,270,image/output_000130_000022.png
130,13,8,90,315,image/output_000130_000023.png
140,14,8,0,0,image/output_000140_000000.png
